,State,Total Population,Confirmed,SURVEY_NUM,AgeGroup_18-24,AgeGroup_25-34,AgeGroup_35-44,AgeGroup_45-54,AgeGroup_55-64,AgeGroup_65-74,AgeGroup_75+,AgeGroup_Removed for disclosure risk,HHSize_Five persons,HHSize_Four persons,HHSize_One person,HHSize_REFUSED,HHSize_SKIPPED ON WEB,HHSize_Six or more persons,HHSize_Three persons,HHSize_Two persons,Density_Rural,Density_Suburban,Density_Urban,Worn Face Mask,Avoided Restaurants,Cancelled Recreational Activities,Avoided Crowded Places,Avoided High Risk,Sanitized Hands,Neighbour Alertness
0,California,39139822.0,271013,1,0.14328266015121555,0.17678793803144244,0.1876804516095624,0.12514697106709888,0.1816034324405186,0.12425958128768237,0.061238965412965966,0.0,0.05808936224262562,0.10600376475186389,0.30492179315461915,0.0,0.0,0.0759543884215559,0.19786956338071318,0.2571611280491085,0.027063132301944896,0.08579936000680714,0.8871375076917338,0.9055996335810371,0.7392583095923819,0.7860149149141001,0.8381760196850887,0.6476879184022688,0.9154678144826575,0.2374825561011345
1,California,39139822.0,271013,2,0.14325755600848217,0.17681303429598202,0.19405289444464285,0.15173334052723209,0.14864462859270824,0.11868195417336314,0.06681659195758931,0.0,0.049182368055505965,0.12291008881934522,0.3024340411605654,0.0,0.00038801358735119046,0.1262669034720238,0.14151441853125,0.25730416637395837,0.033711415833779776,0.06792120155461309,0.8983673826116055,0.9161899593556532,0.7044928309465772,0.7347706615175594,0.7940726987114575,0.5906884822922618,0.9300692753809512,0.19482870238288694
2,California,39139822.0,271013,3,0.18437227744,0.1356983071120371,0.1581881946405556,0.17686022771092585,0.15938245360907405,0.11465307971296292,0.07084545977444444,0.0,0.09616135752296295,0.1260972717940741,0.2851887390055555,0.0,0.0068977017261111105,0.07534136624388885,0.1513578345025926,0.2589557292048148,0.018487452332962964,0.08774730876611112,0.8937652389009249,0.9740045081994433,0.738488139733703,0.656374073138148,0.7857207411564806,0.5832963785988885,0.927047291986295,0.2149752663881482
3,Colorado,5525501.0,34240,1,0.09643964653529412,0.22305740129152943,0.19082366369176468,0.14023411142188233,0.16680464279835291,0.14086728070188229,0.04177325355905882,0.0,0.07496907364941177,0.13215035774117648,0.31480523585929426,0.0,0.0,0.030672493596941176,0.10952173088870586,0.33788110826423545,0.08853030468494115,0.1152674591604706,0.7962022361543531,0.8516868812367062,0.7755663605823536,0.7581926346585885,0.801838901896471,0.6557361925122354,0.9619791177032945,0.22128108906964714
4,Colorado,5525501.0,34240,2,0.14934928305622008,0.170147765958134,0.1947950594188995,0.15295779213923444,0.1501095661165072,0.13428406985693778,0.048356463454545466,0.0,0.0690826812284689,0.12997161388851672,0.22142360452775126,0.0,0.0006253502124401914,0.035605690069856456,0.15027474697368426,0.39301631309976076,0.08416146885167465,0.09808626732679428,0.817752263822009,0.9086439230160284,0.733795715806459,0.8267261155220087,0.7978224346777502,0.6104908298574162,0.961124498894976,0.2723945229057417
5,Colorado,5525501.0,34240,3,0.08324535659394813,0.23625169298904908,0.16785995233544665,0.1555190298553314,0.17448343314063405,0.12276110239596541,0.05987943268645533,0.0,0.02575117119481268,0.0984831641570605,0.3259311325775216,0.0,0.0,0.07133012322651296,0.18091073875763689,0.2975936700832853,0.0735997884904899,0.08892363706195965,0.83747657444438,0.9089138855002875,0.7139856360170026,0.7053074658155616,0.7235777477484148,0.6207221567351582,0.8758294375233425,0.1710530365242075
6,Florida,20598139.0,206447,1,0.13385955559079754,0.1311848840736196,0.14195925642597135,0.16406318202617584,0.1735218685893661,0.1555466056210634,0.09986464767055214,0.0,0.05355677391513292,0.11128111099079757,0.24193166734683022,0.0,0.0,0.06022329113006134,0.2186548361347648,0.3143523204799592,0.005470533502249489,0.10692024479386501,0.8876092217014314,0.7756245206431494,0.7715344306484663,0.6997464129529652,0.8020030211087936,0.6482438450905927,0.926498722059918,0.23145216278384453
7,Florida,20598139.0,206447,2,0.12712837616522635,0.1379160567537037,0.13882232310493828,0.17718494824670777,0.16353706311069957,0.15886523776769546,0.09654599485082303,0.0,0.035868980623456795,0.09881103624711934,0.25846345815946514,0.0,0.0015620825415637858,0.055473528600617286,0.16127004489362134,0.3885508689339506,0.0032559409699588473,0.05797616434773663,0.9387678946820979,0.839886927598765,0.7797302770551435,0.6750949037351853,0.780723986973456,0.6317455083658435,0.9174170249483535,0.17843284588744854
8,Florida,20598139.0,206447,3,0.1180145429352018,0.14702990030582966,0.1565218332026906,0.13560933982914797,0.18741312862533638,0.15363147853026907,0.10177977657331837,0.0,0.04590960665156951,0.11241667349820628,0.29315724921390135,0.0,0.0022296270713004483,0.08671268300403588,0.14414822928542598,0.31542593127735435,0.006344476079596412,0.0916572581984305,0.9019982657237672,0.9108773436789243,0.7997362168710763,0.6735402365943945,0.8348105623345291,0.6484650964598652,0.9591317145269063,0.19732275749865474
9,Louisiana,4663616.0,66327,1,0.09125717461333333,0.2125866014372727,0.1187890491457576,0.20421200404909096,0.17073147487969695,0.13485673753060606,0.06756695834242422,0.0,0.04261818927818182,0.10142153041757578,0.2992814976257576,0.0,0.00944456795969697,0.026492942083636367,0.18285099001454547,0.3378902826187879,0.046254132060606065,0.2313910608563637,0.7223548070812118,0.740778143913636,0.6943505315933328,0.684532008033636,0.7988644076096965,0.7412743716084845,0.9229744790133328,0.1879569888354546
